cnpj;ano;url_principal;vl_prestacao_servicos;vl_recursos_subvencoes_publicas;vl_recursos_contribuicoes_publicas;vl_recursos_convenios_publicos;vl_recursos_auxi­lios_publicos;vl_recursos_termo_parceria;vl_doacoes_contribuicoes_custeio;vl_receita_convenios_saude_conveniados;vl_prest_servicos_saude_conveniados;vl_sus_sistema_unico_saude;vl_inscricoes_cursos_vestibulares;vl_servicos_educacionais;vl_taxa_mensalidades_contribuicoes;vl_contribuicao_empresas_mantenedoras;vl_doacoes_campanhas_patroci­nios;vl_recusos_internacionais;vl_bolsas_estudo_concedidas;vl_atendimento_gratuito;vl_descontos_comerciais_concedidos;vl_pis_receitas;vl_cofins_receitas;vl_icms_vendas;vl_iss_servicos;vl_vendas_canceladas;vl_outras_deducoes;vl_outras_receitas_operacionais;vl_descontos_obtidos;vl_rendalugueis_arrendamentos;vl_rendimentos_ti­tulos_aplicacoes_mercado_financeiro;vl_impostos_aplicacoes_financeiras;vl_outras_receitas_financeiras;vl_vendativo_permanente;vl_doacoes_receb_bens_mercadorias;vl_outras_receitas_nao_operacionais;vl_outras_receitas_nao_classificadas_anteriormente;vl_total_receitas;vl_salarios_funcionarios_(c/_vi­nculo_empregati­cio);vl_encargos_sociais_pessoal;vl_despesas_diversas_pessoal;vl_remuneracao_dirigentes;vl_encargos_sociais_dirigentes;vl_outros_encargos_sociais_compulsorios;vl_outras_despesas_pessoal;vl_recursos_humanos_externos_pessofi­sica;vl_recursos_humanos_externos_pessojuri­dica;vl_inss_servicos_prestados_por_terceiros;vl_outras_despesas_servicos_contratados;vl_custos_projetos;vl_agua_gas_energieletrica;vl_alugueis_pagos;vl_despesas_vei­culos;vl_diarias_viagens;vl_hospedagem;vl_passagens_aereas/rodoviarias;vl_telefone_fax_outras_despesas_comunicacoes;vl_publicacoes_tecnicas;vl_servicos_tecnicos_especializados;vl_despesas_informatica;vl_premios_seguros_contratados;vl_despesas_atividades_sociais_culturais;vl_outras_despesas_administrativas;vl_ensifundamental;vl_curso_superior;vl_estagiarios;vl_mestrados_doutorados_pos_doutorados;vl_outras_despesas_bolsas_estudo
64.715.899/0001-01;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/27268/RelatorioCircunstanciado.html;0,00;282.304,80;0,00;129.315,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;159.720,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;571.340,01;304.671,83;45.537,83;30.376,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17.421,74;6.480,05;8.798,38;0,00;0,00;0,00;6.441,24;0,00;12.564,60;1.777,19;0,00;0,00;105.211,44;0,00;0,00;0,00;0,00;0,00
58.191.008/0001-62;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/27353/RelatorioCircunstanciado.html;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;70.267.766,20;0,00;0,00;4.773.604,34;0,00;13.129.371,72;4.773.604,34;0,00;0,00;0,00;0,00;0,00;0,00;0,00;520.019,19;0,00;432.648,68;3.635.343,46;0,00;0,00;33.293,00;0,00;0,00;5.640.626,35;67.400.325,16;31.297.448,81;14.364.940,00;0,00;0,00;0,00;0,00;92.803,37;265.057,54;4.218.952,29;0,00;0,00;1.934.684,15;1.802.146,73;640.319,08;79.638,46;15.272,56;16.172,83;0,00;1.942.437,22;93.196,72;922.155,72;548.822,59;292.025,90;237.876,87;677.326,08;0,00;0,00;168.203,39;91.283,33;75.500,00
58.198.128/0001-91;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/27427/RelatorioCircunstanciado.html;0,00;1.465.585,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27.119,00;0,00;95.644,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;600,00;0,00;0,00;15.509,15;0,00;0,00;203,07;0,00;1.604.661,50;888.590,44;95.298,23;0,00;0,00;0,00;0,00;6.649,68;12.115,79;0,00;0,00;186.317,34;10.083,80;14.938,79;0,00;7.797,26;0,00;0,00;0,00;11.524,87;789,52;20.202,20;14.555,73;2.978,96;98.412,45;143.451,31;0,00;0,00;0,00;0,00;0,00
71.545.636/0001-67;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/27623/RelatorioCircunstanciado.html;0,00;0,00;0,00;0,00;0,00;0,00;7.904,02;0,00;0,00;0,00;0,00;0,00;711,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8.615,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;993,45;0,00;0,00;0,00;1.093,87;0,00;0,00;3.063,38;0,00;0,00;47,55;0,00;0,00;1.790,19;0,00;0,00;0,00;0,00;0,00
58.269.515/0001-71;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/27680/RelatorioCircunstanciado.html;0,00;552.476,40;0,00;196.894,53;0,00;0,00;6.307,85;0,00;0,00;0,00;0,00;0,00;8.114,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;72.893,41;0,00;0,00;10.604,06;0,00;0,00;0,00;20.025,81;0,00;970.512,87;1.837.828,93;563.322,70;56.596,99;140.528,23;0,00;0,00;0,00;41.875,15;0,00;0,00;0,00;0,00;0,00;21.656,04;0,00;699,44;0,00;0,00;129,40;3.341,47;280,00;55.045,42;2.430,80;0,00;0,00;42.903,28;0,00;0,00;0,00;0,00;836.170,00
71.545.636/0001-67;2006;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/27960/RelatorioCircunstanciado.html;0,00;6.000,00;0,00;0,00;0,00;0,00;23.155,05;0,00;0,00;0,00;0,00;0,00;3.330,00;0,00;2.197,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34.682,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29.529,38;0,00;0,00;0,00;73,08;0,00;0,00;5.330,73;0,00;0,00;0,00;0,00;0,00;2.590,85;0,00;0,00;0,00;0,00;0,00
58.207.572/0001-26;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/28195/RelatorioCircunstanciado.html;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;41.927.759,98;0,00;0,00;0,00;5.029.725,03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;178.027,08;0,00;0,00;0,00;28.680.015,59;0,00;728.148,50;0,00;0,00;0,00;0,00;66.128.171,96;8.958.129,81;1.273.610,61;0,00;0,00;0,00;0,00;0,00;541.943,01;619.188,68;0,00;0,00;0,00;342.189,62;0,00;0,00;2.999,64;0,00;0,00;0,00;18.363,09;0,00;95.739,36;7.798,53;0,00;1.367.642,68;0,00;3.227.343,01;0,00;0,00;0,00
58.269.515/0001-71;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/109750/RelatorioCircunstanciado.html;0,00;599.055,44;98.668,00;36.860,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10.344,66;66.369,00;0,00;0,00;757.788,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;82.470,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;939.803,64;1.075.783,03;619.600,70;173.682,28;0,00;0,00;0,00;0,00;66.631,03;0,00;0,00;0,00;0,00;0,00;31.173,41;0,00;1.719,28;144,00;0,00;0,00;4.134,43;0,00;20.539,71;3.970,90;0,00;0,00;208.602,82;0,00;0,00;0,00;0,00;0,00
58.149.030/0001-44;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/109788/RelatorioCircunstanciado.html;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.146,00;0,00;15.234,77;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14.092,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32.473,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.552,34;0,00;0,00;0,00;0,00;0,00;2.809,06;0,00;17.395,61;0,00;558,72;2.236,67;10.679,37;0,00;0,00;0,00;0,00;0,00
58.191.008/0001-62;2006;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/11076/RelatorioCircunstanciado.html;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;72.125.157,54;0,00;0,00;0,00;0,00;10.705.641,32;4.422.864,97;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.078.731,31;0,00;0,00;0,00;0,00;8.976.498,24;0,00;69.051.880,80;21.866.934,27;10.320.350,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;701.502,76;1.850.015,72;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9.398.844,73;0,00;23.880.215,39;0,00;0,00;0,00
58.219.551/0001-20;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/28876/RelatorioCircunstanciado.html;0,00;0,00;0,00;332.279,94;0,00;0,00;1.278.743,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.006.708,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.210,10;0,00;26.976,40;0,00;601.459,52;7.161,52;0,00;0,00;0,00;3.254.539,11;927.569,64;228.301,24;76.000,78;0,00;0,00;0,00;145.547,74;43.613,00;423.689,52;0,00;0,00;0,00;156.003,80;0,00;93.253,56;0,00;0,00;0,00;44.649,76;0,00;9.750,00;7.762,92;9.900,12;0,00;442.819,92;0,00;0,00;34.304,12;0,00;0,00
58.238.866/0001-15;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/109900/RelatorioCircunstanciado.html;0,00;84.338,19;30.000,00;866.257,81;6.240,00;0,00;0,00;0,00;0,00;113.297,73;0,00;0,00;88.804,73;15.497,00;128.055,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;175.812,58;85,88;3.300,00;2.342,07;0,00;0,00;0,00;0,00;0,00;0,00;1.514.031,68;775.113,64;73.555,21;19.549,63;0,00;0,00;0,00;0,00;18.416,65;0,00;0,00;0,00;0,00;28.919,74;0,00;10.284,16;477,50;0,00;0,00;9.036,81;0,00;6.600,00;5.575,95;1.177,99;35.600,29;16.214,70;0,00;0,00;0,00;0,00;0,00
54.346.127/0001-96;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/31129/RelatorioCircunstanciado.html;0,00;11.000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;120.024,04;180.344,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10.461,00;0,00;0,00;7.848,32;0,00;0,00;0,00;0,00;0,00;0,00;329.677,51;53.570,88;0,00;36.548,85;0,00;0,00;0,00;4.111,60;38.166,24;4.872,80;7.401,98;0,00;0,00;3.146,46;0,00;1.646,49;0,00;0,00;0,00;4.505,77;0,00;0,00;0,00;3.409,02;0,00;24.578,75;0,00;5.630,15;0,00;0,00;0,00
68.018.050/0001-30;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/31273/RelatorioCircunstanciado.html;0,00;0,00;0,00;1.732.852,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;213.565,09;0,00;200.071,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;50.842,95;0,00;0,00;1.127,28;0,00;0,00;0,00;0,00;0,00;0,00;2.198.459,53;698.865,48;95.937,83;155.074,49;0,00;0,00;0,00;65.159,21;32.580,01;0,00;0,00;0,00;0,00;32.436,44;0,00;7.256,26;702,66;0,00;0,00;12.486,47;0,00;7.200,00;0,00;0,00;29.208,38;20.301,22;0,00;0,00;0,00;0,00;0,00
64.042.740/0001-73;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/110050/RelatorioCircunstanciado.html;0,00;952.758,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;87.304,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.490,10;0,00;0,00;0,00;0,00;0,00;78.818,61;1.124.371,35;500.676,13;49.999,41;56.594,31;0,00;0,00;0,00;0,00;0,00;36.482,72;0,00;0,00;0,00;0,00;0,00;7.191,40;0,00;0,00;0,00;6.038,06;1.041,00;303.128,40;0,00;0,00;0,00;31.912,81;0,00;2.720,00;0,00;0,00;0,00
58.218.207/0001-17;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/32116/RelatorioCircunstanciado.html;218.202,00;0,00;0,00;406.692,00;0,00;0,00;1.552.026,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;69.637,00;0,00;0,00;0,00;0,00;265.363,00;0,00;0,00;27.561,00;0,00;0,00;0,00;0,00;467.731,00;0,00;2.867.938,00;212.446,00;19.472,00;31.950,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.596.486,00;34.536,80;0,00;6.376,00;0,00;0,00;0,00;12.252,00;0,00;0,00;4.888,00;2.150,00;0,00;17.341,00;0,00;0,00;0,00;0,00;0,00
66.505.017/0001-09;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/32182/RelatorioCircunstanciado.html;0,00;0,00;1.189.722,82;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;388.791,92;0,00;67.436,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,40;0,00;0,00;0,00;0,00;2.650,00;0,00;1.648.605,98;684.048,35;73.903,40;127.377,89;0,00;0,00;0,00;34.178,27;9.510,00;12.670,73;0,00;0,00;0,00;19.119,00;149.860,65;3.789,00;0,00;0,00;0,00;14.380,36;0,00;0,00;0,00;0,00;0,00;18.196,53;0,00;0,00;0,00;0,00;0,00
58.198.227/0001-73;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/33257/RelatorioCircunstanciado.html;1.100.574,52;1.809.872,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18.800,00;0,00;347.281,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;375.068,93;211.602,59;0,00;17.020,36;0,00;0,00;870.905,60;0,00;4.751.133,82;1.405.993,79;444.466,90;64.731,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;115.880,29;218.400,00;21.986,06;1.377,57;0,00;0,00;68.441,90;0,00;0,00;0,00;35.997,83;0,00;1.414.912,64;0,00;0,00;0,00;0,00;0,00
66.505.017/0001-09;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/110274/RelatorioCircunstanciado.html;0,00;0,00;0,00;1.016.681,23;0,00;0,00;358.933,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;94.884,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,45;0,00;0,00;0,00;0,00;0,00;0,00;1.470.508,47;593.927,40;257.110,55;147.786,38;0,00;0,00;0,00;156.147,44;0,00;0,00;0,00;19.555,60;0,00;12.227,41;114.033,73;742,00;0,00;0,00;0,00;10.518,65;0,00;0,00;30.645,79;381,75;0,00;8.935,57;0,00;0,00;0,00;0,00;0,00
58.253.667/0001-86;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/36089/RelatorioCircunstanciado.html;51.815,00;0,00;0,00;0,00;0,00;11.635.463,40;0,00;0,00;0,00;0,00;0,00;0,00;5.050,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;50,27;0,00;159.174,75;0,00;385,73;72.000,00;0,00;808,51;1.464.721,28;13.389.468,94;8.173.890,71;341.951,79;128.280,84;0,00;0,00;0,00;1.465.973,33;0,00;0,00;0,00;158.896,77;0,00;27.918,97;0,00;21.484,05;879,85;0,00;0,00;41.092,75;0,00;0,00;0,00;0,00;0,00;214.312,73;0,00;0,00;0,00;0,00;0,00
58.250.267/0001-17;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/37260/RelatorioCircunstanciado.html;0,00;0,00;0,00;270.181,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33.620,00;0,00;34.020,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;118.500,24;0,00;0,00;13,85;0,00;0,00;0,00;7.450,27;463.785,95;302.256,73;3.371,76;28.204,54;0,00;0,00;0,00;11.364,26;0,00;0,00;0,00;0,00;25.942,07;19.491,88;0,00;0,00;0,00;0,00;0,00;4.577,13;0,00;3.737,60;0,00;0,00;0,00;29.756,02;0,00;0,00;0,00;0,00;0,00
51.642.288/0001-39;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/37986/RelatorioCircunstanciado.html;0,00;588.627,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;462.701,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;38.586,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.089.914,58;577.595,41;93.567,98;0,00;0,00;0,00;0,00;50.025,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.955,76;0,00;0,00;0,00;17.262,43;0,00;32.331,60;0,00;4.657,41;29.320,66;238.174,83;0,00;0,00;0,00;0,00;0,00
58.228.453/0001-50;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/110585/RelatorioCircunstanciado.html;0,00;80.100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;104.101,95;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8.455,63;0,00;0,00;0,00;0,00;0,00;0,00;192.657,58;104.526,50;23.610,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
58.198.524/0001-19;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/39992/RelatorioCircunstanciado.html;0,00;1.490.485,98;0,00;0,00;0,00;0,00;0,00;0,00;167.209.788,13;37.073.152,45;0,00;0,00;0,00;0,00;2.011.840,93;0,00;0,00;71.558,41;0,00;0,00;0,00;0,00;0,00;0,00;6.273.241,20;10.557.210,90;0,00;0,00;0,00;0,00;3.836.361,49;0,00;0,00;0,00;0,00;215.834.040,27;37.572.145,63;0,00;12.514.038,59;0,00;0,00;0,00;12.839.331,28;23.338.058,13;25.561.119,46;0,00;38.892.158,30;0,00;3.891.354,78;274.818,45;20.004,10;164.253,53;0,00;0,00;714.368,41;0,00;0,00;1.079.980,54;611.691,09;0,00;2.093.520,62;0,00;0,00;289.564,00;0,00;0,00
52.246.451/0001-07;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/40286/RelatorioCircunstanciado.html;0,00;0,00;0,00;112.440,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;782.148,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40.184,12;11.239,28;748,81;1.488,85;0,00;0,00;0,00;17.069,24;963.821,16;391.535,50;36.464,93;52.315,60;0,00;0,00;0,00;31.034,35;53.936,56;20.215,91;5.933,00;0,00;0,00;71.470,21;0,00;4.886,26;0,00;0,00;0,00;7.903,98;0,00;0,00;890,20;7.060,50;0,00;196.708,57;0,00;0,00;0,00;0,00;0,00
58.251.711/0001-19;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/41461/RelatorioCircunstanciado.html;993.729,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;76.520,00;64.613.182,45;1.165.508,54;0,00;2.731.928,37;0,00;6.653.386,42;0,00;0,00;0,00;0,00;0,00;2.378,26;173.560,48;0,00;0,00;129.611,17;0,00;8.433.519,38;0,00;61.523,37;0,00;0,00;0,00;0,00;71.376.197,30;23.701.292,86;3.117.117,67;8.040.643,54;0,00;0,00;0,00;2.553.614,35;919.122,30;13.366.236,20;0,00;0,00;3.062.584,58;1.447.769,90;1.990,00;118.562,71;104.671,51;0,00;0,00;369.942,17;101.043,56;723.855,82;607.372,34;0,00;209.051,71;4.739.652,24;0,00;0,00;0,00;0,00;0,00
68.011.865/0001-97;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/110859/RelatorioCircunstanciado.html;0,00;470.066,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;114.500,00;48.350,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;39.976,71;0,00;672.893,11;392.749,12;121.149,20;35.662,97;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22.129,77;17.760,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;255,00;0,00;0,00;58.293,00;0,00;0,00;0,00;0,00;0,00
58.167.032/0001-66;2006;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/43500/RelatorioCircunstanciado.html;0,00;0,00;0,00;302.739,74;0,00;0,00;12.579,67;0,00;0,00;0,00;0,00;0,00;36.857,66;0,00;48.557,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.085,46;0,00;15.383,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;421.203,32;290.599,88;0,00;0,00;0,00;0,00;0,00;0,00;16.214,29;0,00;4.316,77;0,00;0,00;19.793,43;0,00;1.397,67;0,00;0,00;0,00;4.894,05;0,00;20.204,66;7.306,91;2.372,98;4.673,69;0,00;0,00;0,00;0,00;0,00;0,00
71.545.636/0001-67;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/43541/RelatorioCircunstanciado.html;0,00;0,00;0,00;0,00;0,00;0,00;10.572,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.379,05;11.951,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
64.042.740/0001-73;2008;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/44163/RelatorioCircunstanciado.html;0,00;728.400,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;139.788,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;813,81;2.415,41;0,00;0,00;0,00;1.567,51;0,00;0,00;0,00;19.806,54;892.792,88;266.234,13;31.395,26;42.538,76;0,00;0,00;0,00;0,00;20.913,07;0,00;0,00;0,00;0,00;3.717,06;0,00;12.033,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.712,52;0,00;415.096,90;0,00;0,00;0,00;0,00;0,00
68.025.576/0001-47;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/111540/RelatorioCircunstanciado.html;0,00;835.848,00;0,00;0,00;0,00;334.144,00;68.084,24;0,00;0,00;0,00;0,00;0,00;330,00;0,00;23.840,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;789,53;0,00;0,00;0,00;0,00;551,00;0,00;1.263.586,92;703.886,84;60.715,01;0,00;0,00;0,00;0,00;0,00;200,00;0,00;0,00;0,00;324.734,64;0,00;0,00;0,00;4.456,13;0,00;0,00;32.958,52;0,00;3.224,84;0,00;9.375,07;0,00;73.507,53;0,00;0,00;0,00;0,00;0,00
66.505.017/0001-09;2007;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/13035/RelatorioCircunstanciado.html;0,00;0,00;0,00;1.094.096,35;0,00;0,00;485.274,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;66.718,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.920,00;286,90;0,00;0,00;0,00;0,00;0,00;0,00;1.653.296,46;467.681,26;120.051,41;55.956,87;0,00;0,00;0,00;131.197,75;222.668,09;17.988,75;0,00;0,00;0,00;21.319,52;167.358,05;164.000,00;0,00;0,00;0,00;16.909,63;0,00;0,00;0,00;2.822,57;34.656,25;40.267,20;0,00;0,00;500,00;0,00;0,00
58.250.267/0001-17;2011;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/111864/RelatorioCircunstanciado.html;0,00;0,00;0,00;292.982,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;48.720,00;0,00;36.023,76;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;167.545,65;0,00;0,00;3,24;0,00;0,00;0,00;7.606,39;552.881,84;345.233,81;71.133,34;385,00;0,00;0,00;0,00;0,00;538,00;20.729,44;0,00;0,00;29.359,12;17.144,29;0,00;0,00;0,00;0,00;0,00;12.171,30;0,00;0,00;0,00;2.827,26;0,00;30.346,86;0,00;0,00;0,00;0,00;0,00
58.269.515/0001-71;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/51233/RelatorioCircunstanciado.html;0,00;587.000,40;0,00;197.548,81;0,00;0,00;7.977,58;0,00;0,00;0,00;0,00;0,00;8.038,88;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;73.838,06;0,00;0,00;3.678,39;0,00;1.202,05;0,00;55.378,77;0,00;1.088.210,70;2.022.873,64;569.952,58;61.176,45;154.333,52;0,00;0,00;0,00;37.718,64;0,00;0,00;0,00;0,00;0,00;19.778,81;0,00;793,85;0,00;0,00;124,90;3.364,29;340,00;32.978,93;721,73;0,00;0,00;16.095,46;0,00;0,00;0,00;0,00;939.350,00
58.222.910/0001-07;2009;http://portal.mj.gov.br/CNEsPublico/relatorioCNEs/51625/RelatorioCircunstanciado.html;0,00;36.000,00;0,00;789.570,37;0,00;2.700,00;76.183,93;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;402.452,93;0,00;229.199,06;32.217,44;0,00;0,00;0,00;0,00;0,00;12.719,98;1.581.043,71;1.235.016,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;45.412,51;0,00;0,00;0,00;4.919,30;0,00;8.466,17;0,00;0,00;0,00;13.629,00;0,00;0,00;4.206,87;0,00;0,00;298.495,13;0,00;0,00;0,00;0,00;0,00
